"id_dept","id_instansi","departemen"
"84002","414","S3 - Pendidikan Matematika"
"84002","440","S3 - Pendidikan Matematika"
"49201","380","S2 - Matematika"
"Unkn-444","444","Unknown"
"57101","6","S2 - Sistem Informasi"
"49201","436","S1 - Statistika"
"Unkn-384","384","Unknown"
"49101","417","S2 - Statistika"
"61001","1135","S3 - Manajemen"
"84002","9","S3 - Pendidikan Matematika"
"49101","428","S2 - Statistika dan Sains Data"
"49101","481","S2 - Statistika Terapan"
"84202","1418","S1 - Pendidikan Matematika"
"Unkn-430","430","Unknown"
"44201","436","S1 - Matematika"
"49001","417","S3 - Ilmu Statistik"
"84205","583","S1 - Pendidikan Biologi"
"49201","442","S1 - Statistika"
"49201","404","S1 - Statistika"
"Unkn-8244516","8244516","Unknown"
"84205","2053","S1 - Pendidikan Biologi"
"Unkn-428","428","Unknown"
"84102","440","S2 - Pendidikan Matematika"
"49201","6","S1 - Statistika"
"49201","8","S1 - Statistika"
"Unkn-405","405","Unknown"
"46105","481","S2 - Manajemen Sumber Daya Hayati"
"Unkn-417","417","Unknown"
"94203","430","S1 - Ilmu Aktuaria"
"49201","2077","S1 - Statistika"
"57401","540","D3 - Manajemen Informatika"
"84102","2564","S2 - Pendidikan Matematika"
"87001","414","S3 - Pendidikan Ilmu Pengetahuan Sosial"
"86132","8244628","S2 - Pendidikan Guru Madrasah Ibtidaiyah"
"44001","398","S3 - Matematika dan Ilmu Pengetahuan Alam"
"86206","515","S1 - Pendidikan Guru Sekolah Dasar"
"61201","2106","S1 - Manajemen"
"55201","500","S1 - Ilmu Komputer"
"87003","8","S3 - Pendidikan Ekonomi"
"14201","1561","S1 - Ilmu Keperawatan"
"84102","436","S2 - Pendidikan Matematika"
"60001","491","S3 - Ilmu Ekonomi"
"54201","8425","S1 - Agribisnis"
"61201","1118","S1 - Manajemen"
"84102","414","S2 - Pendidikan Matematika"
"55002","6","S3 - Sistem Informasi"
"86206","18","S1 - Pendidikan Guru Sekolah Dasar"
"84202","3511","S1 - Pendidikan Matematika"
"86020","381","S3 - Penelitian Dan Evaluasi Pendidikan"
"84202","1878","S1 - Pendidikan Matematika"
"84102","381","S2 - Pendidikan Matematika"
"49201","430","S1 - Statistika"
"49201","481","S1 - Statistika"
"59201","1659","S1 - Sistem Informasi"
"49401","9","D3 - Statistika Terapan dan Komputasi"
"20201","1093","S1 - Teknik Elektro"
"Unkn-3514","3514","Unknown"
"26201","438","S1 - Teknik Industri"
"49102","428","S2 - Statistika Terapan"
"49101","385","S2 - Statistika"
"44101","417","S2 - Matematika"
"49501","4328","D4 - Statistika"
"84202","9","S1 - Pendidikan Matematika"
"87203","9","S1 - Pendidikan Ekonomi"
"84202","3528","S1 - Pendidikan Matematika"
"55102","8339","S2 - Teknik Informatika"
"84202","579","S2 - Pendidikan Matematika"
"87103","435","S2 - Pendidikan Ekonomi"
"84202","8","S1 - Pendidikan Matematika"
"84202","414","S1 - Pendidikan Matematika"
"44101","406","S2 - Matematika"
"86230","2108","S1 - Pendidikan Agama Islam"
"44201","9","S1 - Matematika"
"61201","2056","S1 - Manajemen"
"84202","2893","S1 - Pendidikan Matematika"
"44101","438","S2 - Matematika"
"84202","440","S1 - Pendidikan Matematika"
"54201","442","S1 - Agribisnis"
"84202","3358","S1 - Pendidikan Matematika"
"26201","2228","S1 - Teknik Industri"
"63211","1093","S2 - Administrasi Bisnis"
"44201","496","S1 - Matematika"
"60001","1057","S3 - Ilmu Ekonomi"
"44201","510","S1 - Matematika"
"86206","1398","S1 - Pendidikan Guru Sekolah Dasar"
"22401","2783","D3 - Teknik Sipil"
"57302","4478","D4 - Rekayasa Keamanan Siber"
"49201","382","S1 - Statistika"
"26201","1093","S1 - Teknik Industri"
"57201","477","S1 - Sistem Informasi"
"Unkn-4482","4482","Unknown"
"84202","2056","S1 - Pendidikan Matematika"
"57201","2428","S1 - Sistem Informasi"
"49201","435","S1 - Statistika"
"83207","551","S1 - Pendidikan Teknologi Informasi"
"61201","2132","S1 - Manajemen"
"84202","1130","S1 - Pendidikan Matematika"
"55201","2125","S1 - Teknik Informatika"
"84102","491","S2 - Pendidikan Matematika"
"55401","1999","D3 - Teknologi Informasi"
"84102","438","S2 - Pendidikan Matematika"
"86206","386","S1 - Pendidikan Guru Sekolah Dasar"
"57201","1093","S1 - Sistem Informasi"
"44201","398","S1 - Matematika"
"84102","435","S2 - Pendidikan Matematika"
"55201","388","S1 - Teknik Informatika"
"94409","430","D3 - Administrasi Asuransi & Aktuaria"
"49201","388","S1 - Statistika"
"44101","428","S2 - Matematika Terapan"
"Unkn-509","509","Unknown"
